file,mjd,jd,ra,dec,x,y
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139052247-s0092-1-2-0289-s_ffic.fits,60814.22963758102,2460814.729637581,286.43624,-18.69475,554.8849875786533,22.857905342968344
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139052607-s0092-1-2-0289-s_ffic.fits,60814.231952546295,2460814.731952546,286.43583,-18.69477,554.8874568506345,22.932749121973274
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139052927-s0092-1-2-0289-s_ffic.fits,60814.23426751158,2460814.7342675114,286.43541,-18.69479,554.8921868366194,23.005146946407436
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139053247-s0092-1-2-0289-s_ffic.fits,60814.236582471065,2460814.736582471,286.435,-18.6948,554.8921476072728,23.061862495130114
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139053607-s0092-1-2-0289-s_ffic.fits,60814.23889743055,2460814.7388974307,286.43458,-18.69482,554.8985420970323,23.1409000555703
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139053927-s0092-1-2-0289-s_ffic.fits,60814.241212395835,2460814.741212396,286.43417,-18.69484,554.9021777982153,23.22306315434208
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139054247-s0092-1-2-0289-s_ffic.fits,60814.243527361104,2460814.743527361,286.43375,-18.69485,554.9084497749167,23.293587256798503
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139054607-s0092-1-2-0289-s_ffic.fits,60814.24584232639,2460814.7458423264,286.43333,-18.69487,554.9098428774298,23.369072639397203
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139054927-s0092-1-2-0289-s_ffic.fits,60814.24815729167,2460814.7481572917,286.43292,-18.69488,554.9162577837,23.43724061117822
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139055247-s0092-1-2-0289-s_ffic.fits,60814.25047225694,2460814.750472257,286.4325,-18.6949,554.9197107858431,23.511858394222735
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139055607-s0092-1-2-0289-s_ffic.fits,60814.252787216436,2460814.7527872166,286.43209,-18.69492,554.9214185828104,23.589063650351164
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139055927-s0092-1-2-0289-s_ffic.fits,60814.25510217593,2460814.7551021758,286.43167,-18.69493,554.9274777781194,23.65858752978312
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139060247-s0092-1-2-0289-s_ffic.fits,60814.2574171412,2460814.757417141,286.43126,-18.69495,554.9319519534475,23.732963878456005
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139060607-s0092-1-2-0289-s_ffic.fits,60814.25973210648,2460814.7597321067,286.43084,-18.69497,554.9329999263193,23.804342057410736
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139060927-s0092-1-2-0289-s_ffic.fits,60814.26204707176,2460814.762047072,286.43043,-18.69498,554.9406559453523,23.871595099548287
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139061247-s0092-1-2-0289-s_ffic.fits,60814.264362037036,2460814.764362037,286.43001,-18.695,554.9421631113024,23.946305675605117
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139061607-s0092-1-2-0289-s_ffic.fits,60814.26667700232,2460814.7666770024,286.42959,-18.69501,554.9503682109989,24.018518496771954
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139061927-s0092-1-2-0289-s_ffic.fits,60814.268991961806,2460814.7689919616,286.42918,-18.69503,554.9487478813288,24.090249544950446
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139062247-s0092-1-2-0289-s_ffic.fits,60814.27130692129,2460814.7713069213,286.42876,-18.69505,554.9568377278342,24.16163862487423
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139062607-s0092-1-2-0289-s_ffic.fits,60814.273621886576,2460814.7736218865,286.42835,-18.69506,554.9620427470813,24.235331372863165
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139062927-s0092-1-2-0289-s_ffic.fits,60814.275936851845,2460814.7759368517,286.42793,-18.69508,554.9637307803567,24.30347223438723
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139063247-s0092-1-2-0289-s_ffic.fits,60814.27825181713,2460814.778251817,286.42752,-18.6951,554.9668445514624,24.375611364236626
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139063607-s0092-1-2-0289-s_ffic.fits,60814.280566782414,2460814.780566782,286.4271,-18.69511,554.9730993471451,24.452125966736354
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139063927-s0092-1-2-0289-s_ffic.fits,60814.282881747684,2460814.7828817475,286.42668,-18.69513,554.9745844890282,24.523897658162156
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139064247-s0092-1-2-0289-s_ffic.fits,60814.28519670718,2460814.785196707,286.42627,-18.69514,554.9793093048186,24.59440275939138
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139064607-s0092-1-2-0289-s_ffic.fits,60814.28751166667,2460814.787511667,286.42585,-18.69516,554.9839966940618,24.67006171272304
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139064927-s0092-1-2-0289-s_ffic.fits,60814.28982663194,2460814.789826632,286.42544,-18.69518,554.990320792904,24.73913108621479
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139065247-s0092-1-2-0289-s_ffic.fits,60814.29214159722,2460814.7921415973,286.42502,-18.69519,554.9922501041265,24.808251482385543
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139065607-s0092-1-2-0289-s_ffic.fits,60814.29445656249,2460814.7944565625,286.42461,-18.69521,554.9984191190739,24.888420536091168
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139065927-s0092-1-2-0289-s_ffic.fits,60814.29677152778,2460814.7967715277,286.42419,-18.69523,555.0019160466024,24.953143679032728
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139070247-s0092-1-2-0289-s_ffic.fits,60814.29908649306,2460814.799086493,286.42378,-18.69524,555.0037945727478,25.02742767274372
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139070607-s0092-1-2-0289-s_ffic.fits,60814.30140145833,2460814.801401458,286.42336,-18.69526,555.0134304283017,25.105042131378653
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139070927-s0092-1-2-0289-s_ffic.fits,60814.303716423616,2460814.8037164235,286.42294,-18.69527,555.0165190773489,25.171741349612716
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139071247-s0092-1-2-0289-s_ffic.fits,60814.3060313831,2460814.806031383,286.42253,-18.69529,555.0202222373621,25.241921130340387
/home/adina/.eleanor/ffis/s0092/1-2/raw/tess2025139071607-s0092-1-2-0289-s_ffic.fits,60814.30834634259,2460814.8083463428,286.42211,-18.69531,555.0229690836265,25.32020181168938
