file,x,y
2-3/raw/tess2025127153247-s0092-2-3-0289-s_ffic.fits,1893.7989208780607,1369.3013542029494
2-3/raw/tess2025127153607-s0092-2-3-0289-s_ffic.fits,1893.7594213488003,1369.4022406592226
2-3/raw/tess2025127153927-s0092-2-3-0289-s_ffic.fits,1893.7212409246117,1369.5073666678045
2-3/raw/tess2025127154247-s0092-2-3-0289-s_ffic.fits,1893.684620497927,1369.6075907711706
2-3/raw/tess2025127154607-s0092-2-3-0289-s_ffic.fits,1893.6445128030498,1369.714378619504
2-3/raw/tess2025127154927-s0092-2-3-0289-s_ffic.fits,1893.606078160369,1369.8156220316546
2-3/raw/tess2025127155247-s0092-2-3-0289-s_ffic.fits,1893.570651125351,1369.9194081560145
2-3/raw/tess2025127155607-s0092-2-3-0289-s_ffic.fits,1893.5292646836986,1370.0205385639933
2-3/raw/tess2025127155927-s0092-2-3-0289-s_ffic.fits,1893.4914751735857,1370.1246256975617
2-3/raw/tess2025127160247-s0092-2-3-0289-s_ffic.fits,1893.4531675413689,1370.2288216679244
2-3/raw/tess2025127160607-s0092-2-3-0289-s_ffic.fits,1893.4133564824845,1370.331407071226
2-3/raw/tess2025127160927-s0092-2-3-0289-s_ffic.fits,1893.373964502623,1370.4334056141142
2-3/raw/tess2025127161247-s0092-2-3-0289-s_ffic.fits,1893.3345516529218,1370.5337894040183
2-3/raw/tess2025127161607-s0092-2-3-0289-s_ffic.fits,1893.2956838597738,1370.6369371669268
2-3/raw/tess2025127161927-s0092-2-3-0289-s_ffic.fits,1893.2576308055495,1370.7372489837846
2-3/raw/tess2025127162247-s0092-2-3-0289-s_ffic.fits,1893.2156936922856,1370.8377375529567
2-3/raw/tess2025127162607-s0092-2-3-0289-s_ffic.fits,1893.1783833740608,1370.9439019476824
2-3/raw/tess2025127162927-s0092-2-3-0289-s_ffic.fits,1893.1395045933657,1371.045917521661
2-3/raw/tess2025127163247-s0092-2-3-0289-s_ffic.fits,1893.0996145471745,1371.150286359995
2-3/raw/tess2025127163607-s0092-2-3-0289-s_ffic.fits,1893.065629483872,1371.2510399040088
2-3/raw/tess2025127163927-s0092-2-3-0289-s_ffic.fits,1893.0229478513174,1371.3540482942649
2-3/raw/tess2025127164247-s0092-2-3-0289-s_ffic.fits,1892.984651752005,1371.458074275634
2-3/raw/tess2025127164607-s0092-2-3-0289-s_ffic.fits,1892.9457373060607,1371.559759934647
2-3/raw/tess2025127164927-s0092-2-3-0289-s_ffic.fits,1892.9091976956202,1371.6619046052176
2-3/raw/tess2025127165247-s0092-2-3-0289-s_ffic.fits,1892.8657185168606,1371.7653054905834
2-3/raw/tess2025127165607-s0092-2-3-0289-s_ffic.fits,1892.8278980579248,1371.8670391348473
2-3/raw/tess2025127165927-s0092-2-3-0289-s_ffic.fits,1892.786441724167,1371.9682006284656
2-3/raw/tess2025127170247-s0092-2-3-0289-s_ffic.fits,1892.7521846931468,1372.067253736023
2-3/raw/tess2025127170607-s0092-2-3-0289-s_ffic.fits,1892.7099559817923,1372.1705441006666
2-3/raw/tess2025127170927-s0092-2-3-0289-s_ffic.fits,1892.6715747882913,1372.2733431477973
2-3/raw/tess2025127171247-s0092-2-3-0289-s_ffic.fits,1892.6307170578543,1372.3758170388112
2-3/raw/tess2025127171607-s0092-2-3-0289-s_ffic.fits,1892.5938659753085,1372.477358479157
2-3/raw/tess2025127171927-s0092-2-3-0289-s_ffic.fits,1892.555013511782,1372.5791216290936
2-3/raw/tess2025127172247-s0092-2-3-0289-s_ffic.fits,1892.51613318348,1372.6818543969214
2-3/raw/tess2025127172607-s0092-2-3-0289-s_ffic.fits,1892.4743493365224,1372.785590656362
2-3/raw/tess2025127172927-s0092-2-3-0289-s_ffic.fits,1892.4397324956637,1372.8859885413858
2-3/raw/tess2025127173247-s0092-2-3-0289-s_ffic.fits,1892.3979879659794,1372.9880481379168
2-3/raw/tess2025127173607-s0092-2-3-0289-s_ffic.fits,1892.3599731280258,1373.0894848827932
2-3/raw/tess2025127173927-s0092-2-3-0289-s_ffic.fits,1892.316427387577,1373.193487758618
2-3/raw/tess2025127174247-s0092-2-3-0289-s_ffic.fits,1892.2749140199608,1373.2957379857687
2-3/raw/tess2025127174607-s0092-2-3-0289-s_ffic.fits,1892.2361701424254,1373.396289555133
2-3/raw/tess2025127174927-s0092-2-3-0289-s_ffic.fits,1892.1977510936345,1373.4982621616882
2-3/raw/tess2025127175247-s0092-2-3-0289-s_ffic.fits,1892.1553260839014,1373.5981096513792
2-3/raw/tess2025127175607-s0092-2-3-0289-s_ffic.fits,1892.1156651722465,1373.7003659350257
2-3/raw/tess2025127175927-s0092-2-3-0289-s_ffic.fits,1892.0750037321163,1373.8025736658192
2-3/raw/tess2025127180247-s0092-2-3-0289-s_ffic.fits,1892.0366025428852,1373.9038535919146
2-3/raw/tess2025127180607-s0092-2-3-0289-s_ffic.fits,1891.9992791257037,1374.0073673221991
2-3/raw/tess2025127180927-s0092-2-3-0289-s_ffic.fits,1891.955671584891,1374.1098695823212
2-3/raw/tess2025127181247-s0092-2-3-0289-s_ffic.fits,1891.9161769750574,1374.2114358620322
2-3/raw/tess2025127181607-s0092-2-3-0289-s_ffic.fits,1891.8780998224393,1374.3116455248428
2-3/raw/tess2025127181927-s0092-2-3-0289-s_ffic.fits,1891.8372010002324,1374.4150247536172
2-3/raw/tess2025127182247-s0092-2-3-0289-s_ffic.fits,1891.799092247316,1374.517996879821
2-3/raw/tess2025127182607-s0092-2-3-0289-s_ffic.fits,1891.7577808015203,1374.618772907254
2-3/raw/tess2025127182927-s0092-2-3-0289-s_ffic.fits,1891.718936303924,1374.7197006892409
2-3/raw/tess2025127183247-s0092-2-3-0289-s_ffic.fits,1891.6773660277354,1374.8207597358287
2-3/raw/tess2025127183607-s0092-2-3-0289-s_ffic.fits,1891.637731644098,1374.9225817444812
2-3/raw/tess2025127183927-s0092-2-3-0289-s_ffic.fits,1891.595190900617,1375.0233604435443
2-3/raw/tess2025127184247-s0092-2-3-0289-s_ffic.fits,1891.559219081253,1375.1236345900252
2-3/raw/tess2025127184607-s0092-2-3-0289-s_ffic.fits,1891.5171503245663,1375.2253419827568
2-3/raw/tess2025127184927-s0092-2-3-0289-s_ffic.fits,1891.4776065526346,1375.324740374789
2-3/raw/tess2025127185247-s0092-2-3-0289-s_ffic.fits,1891.4353272516166,1375.427696139252
2-3/raw/tess2025127185607-s0092-2-3-0289-s_ffic.fits,1891.3959448106766,1375.5302295535462
2-3/raw/tess2025127185927-s0092-2-3-0289-s_ffic.fits,1891.3561567296686,1375.6313878529563
2-3/raw/tess2025127190247-s0092-2-3-0289-s_ffic.fits,1891.3161333853416,1375.7342126565625
2-3/raw/tess2025127190607-s0092-2-3-0289-s_ffic.fits,1891.276817062127,1375.8347215620283
2-3/raw/tess2025127190927-s0092-2-3-0289-s_ffic.fits,1891.2370815677905,1375.9374346278796
2-3/raw/tess2025127191247-s0092-2-3-0289-s_ffic.fits,1891.1957018769992,1376.0365956170742
2-3/raw/tess2025127191607-s0092-2-3-0289-s_ffic.fits,1891.154773528425,1376.1394195782023
2-3/raw/tess2025127191927-s0092-2-3-0289-s_ffic.fits,1891.1165195158299,1376.24006526268
2-3/raw/tess2025127192247-s0092-2-3-0289-s_ffic.fits,1891.0759976107836,1376.3396270965607
2-3/raw/tess2025127192607-s0092-2-3-0289-s_ffic.fits,1891.0331155701865,1376.4400789891868
2-3/raw/tess2025127192927-s0092-2-3-0289-s_ffic.fits,1890.9930057387805,1376.539442073605
2-3/raw/tess2025127193247-s0092-2-3-0289-s_ffic.fits,1890.9518333211847,1376.6415487428962
2-3/raw/tess2025127193607-s0092-2-3-0289-s_ffic.fits,1890.9081085675982,1376.7416177214698
2-3/raw/tess2025127193927-s0092-2-3-0289-s_ffic.fits,1890.8713029315209,1376.8434390919588
2-3/raw/tess2025127194247-s0092-2-3-0289-s_ffic.fits,1890.8317944510434,1376.9465897761877
2-3/raw/tess2025127194607-s0092-2-3-0289-s_ffic.fits,1890.7906959741658,1377.0467280306925
2-3/raw/tess2025127194927-s0092-2-3-0289-s_ffic.fits,1890.7478897190358,1377.1477841604205
2-3/raw/tess2025127195247-s0092-2-3-0289-s_ffic.fits,1890.7101893796603,1377.2502345746373
2-3/raw/tess2025127195607-s0092-2-3-0289-s_ffic.fits,1890.6706587965425,1377.351434483314
2-3/raw/tess2025127195927-s0092-2-3-0289-s_ffic.fits,1890.6275180310613,1377.4519330231092
2-3/raw/tess2025127200247-s0092-2-3-0289-s_ffic.fits,1890.5892174773362,1377.552004526753
2-3/raw/tess2025127200607-s0092-2-3-0289-s_ffic.fits,1890.5462168872061,1377.653285545586
2-3/raw/tess2025127200927-s0092-2-3-0289-s_ffic.fits,1890.5053869442254,1377.7521288907774
2-3/raw/tess2025127201247-s0092-2-3-0289-s_ffic.fits,1890.4658991126032,1377.8522423933164
2-3/raw/tess2025127201607-s0092-2-3-0289-s_ffic.fits,1890.422962109754,1377.9534658765988
